"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"C15","C15","INDI","NSW","2642","AU","False","",""
"TBRI","TBRI","INDOOROOPILLY","QLD","4068","AU","False","",""
"C15","C15","INNES VIEW","NSW","2429","AU","False","",""
"C9","C9","INGHAM","QLD","4850","AU","False","",""
"C15","C15","INGEBYRA","NSW","2627","AU","False","",""
"TSYD","TSYD","INGLESIDE","NSW","2101","AU","False","",""
"C5","C5","INGLESTONE","QLD","4422","AU","False","",""
"C2","C2","INGOLDSBY","QLD","4343","AU","False","",""
"C10","C10","INNOT HOT SPRINGS","QLD","4872","AU","False","",""
"C15","C15","INJINOO","QLD","4876","AU","False","",""
"C5","C5","INJUNE","QLD","4454","AU","False","",""
"C8","C8","INKERMAN","QLD","4806","AU","False","",""
"C5","C5","INGLEWOOD","QLD","4387","AU","False","",""
"C2","C2","INNES PARK","QLD","4670","AU","False","",""
"C9","C9","INNISFAIL ESTATE","QLD","4860","AU","False","",""
"C5","C5","INNISPLAIN","QLD","4285","AU","False","",""
"TBRI","TBRI","INDOOROOPILLY CENTRE","QLD","4068","AU","False","",""
"C9","C9","INNISFAIL","QLD","4860","AU","False","",""
"C2","C2","INSKIP","QLD","4581","AU","False","",""
"C4","C4","INSKIP POINT","QLD","4581","AU","False","",""
"N3","N3","INVERELL","NSW","2360","AU","False","",""
"C15","C15","INVERGOWRIE","NSW","2350","AU","False","",""
"N4","N4","INVERGORDON","NSW","2422","AU","False","",""
"C2","C2","INVERLAW","QLD","4610","AU","False","",""
"C6","C6","INVERNESS","QLD","4703","AU","False","",""
"C8","C8","INVICTA MILL","QLD","4807","AU","False","",""
"N11","N11","IONA","NSW","2321","AU","False","",""
"C2","C2","IPSWICH","QLD","4305","AU","False","",""
"C2","C2","IPSWICH NORTH","QLD","4305","AU","False","",""
"C2","C2","IREDALE","QLD","4344","AU","False","",""
"C15","C15","IRON POT CREEK","NSW","2474","AU","False","",""
"C15","C15","IRON GATES","NSW","2473","AU","False","",""
"C15","C15","IRYMPLE","NSW","2835","AU","False","",""
"N6","N6","IRVINGTON","NSW","2470","AU","False","",""
